number,u_week
LEAD00600346,4
LEAD00578671,4
LEAD00578999,4
LEAD00408598,1
LEAD00411398,1
LEAD00400210,1
LEAD00641430,3
LEAD00641429,3
LEAD00641428,3
LEAD00641426,3
LEAD00641425,3
LEAD00641427,3
LEAD00641424,3
LEAD00641422,3
LEAD00641421,3
LEAD00641419,3
LEAD00641420,3
LEAD00641418,3
LEAD00641417,3
LEAD00641416,3
LEAD00641414,3
LEAD00641415,3
LEAD00641412,3
LEAD00641410,3
LEAD00641408,3
LEAD00641409,3
LEAD00641406,3
LEAD00641405,3
LEAD00641407,3
LEAD00641404,3
LEAD00641403,3
LEAD00641400,3
LEAD00641401,3
LEAD00641402,3
LEAD00641397,3
LEAD00641399,3
LEAD00641398,3
LEAD00641395,3
LEAD00641396,3
LEAD00641394,3
LEAD00641393,3
LEAD00641392,3
LEAD00641389,3
LEAD00641390,3
LEAD00641388,3
LEAD00641387,3
LEAD00641386,3
LEAD00641383,3
LEAD00641384,3
LEAD00641382,3
LEAD00641380,3
LEAD00641381,3
LEAD00641379,3
LEAD00641378,3
LEAD00641375,3
LEAD00641376,3
LEAD00641372,3
LEAD00641370,3
LEAD00641371,3
LEAD00641374,3
LEAD00641369,3
LEAD00641368,3
LEAD00641367,3
LEAD00641366,3
LEAD00641364,3
LEAD00641363,3
LEAD00641361,3
LEAD00641362,3
LEAD00641360,3
LEAD00641359,3
LEAD00641357,3
LEAD00641358,3
LEAD00641355,3
LEAD00641354,3
LEAD00641353,3
LEAD00641351,3
LEAD00641352,3
LEAD00641349,3
LEAD00641348,3
LEAD00641350,3
LEAD00641346,3
LEAD00641345,3
LEAD00641344,3
LEAD00641343,3
LEAD00641339,3
LEAD00641338,3
LEAD00641341,3
LEAD00641342,3
LEAD00641340,3
LEAD00641336,3
LEAD00641334,3
LEAD00641335,3
LEAD00641332,3
LEAD00641331,3
LEAD00641328,3
LEAD00641329,3
LEAD00641326,3
LEAD00641327,3
LEAD00641330,3
LEAD00641322,3
LEAD00641325,3
LEAD00641323,3
LEAD00641324,3
LEAD00641321,3
LEAD00641318,3
LEAD00641319,3
LEAD00641320,3
LEAD00641316,3
LEAD00641317,3
LEAD00641315,3
LEAD00641314,3
LEAD00641313,3
LEAD00641312,3
LEAD00641309,3
LEAD00641310,3
LEAD00641306,3
LEAD00641307,3
LEAD00641308,3
LEAD00641304,3
LEAD00641302,3
LEAD00641303,3
LEAD00641305,3
LEAD00641301,3
LEAD00641300,3
LEAD00641297,3
LEAD00641293,3
LEAD00641296,3
LEAD00641291,3
LEAD00641292,3
LEAD00641290,3
LEAD00641288,3
LEAD00641285,3
LEAD00641286,3
LEAD00641287,3
LEAD00641282,3
LEAD00641281,3
LEAD00641284,3
LEAD00641283,3
LEAD00641278,3
LEAD00641280,3
LEAD00641277,3
LEAD00641275,3
LEAD00641276,3
LEAD00641273,3
LEAD00641274,3
LEAD00641270,3
LEAD00641272,3
LEAD00641271,3
LEAD00641268,3
LEAD00641267,3
LEAD00641263,3
LEAD00641262,3
LEAD00641261,3
LEAD00641260,3
LEAD00641258,3
LEAD00641259,3
LEAD00641257,3
LEAD00641256,3
LEAD00641254,3
LEAD00641252,3
LEAD00641249,3
LEAD00641250,3
LEAD00641251,3
LEAD00641247,3
LEAD00641248,3
LEAD00641246,3
LEAD00641244,3
LEAD00641245,3
LEAD00641243,3
LEAD00641242,3
LEAD00641240,3
LEAD00641238,3
LEAD00641239,3
LEAD00641241,3
LEAD00641237,3
LEAD00641235,3
LEAD00641236,3
LEAD00641233,3
LEAD00641234,3
LEAD00641232,3
LEAD00641231,3
LEAD00641230,3
LEAD00641228,3
LEAD00641229,3
LEAD00641226,3
LEAD00641227,3
LEAD00641223,3
LEAD00641224,3
LEAD00641222,3
LEAD00641221,3
LEAD00641219,3
LEAD00641218,3
LEAD00641216,3
LEAD00641215,3
LEAD00641217,3
LEAD00641212,3
LEAD00641214,3
LEAD00641213,3
LEAD00641211,3
LEAD00641209,3
LEAD00641208,3
LEAD00641210,3
LEAD00641206,3
LEAD00641207,3
LEAD00641205,3
LEAD00641204,3
LEAD00641203,3
LEAD00641202,3
LEAD00641201,3
LEAD00641199,3
LEAD00641200,3
LEAD00641196,3
LEAD00641198,3
LEAD00641197,3
LEAD00641194,3
LEAD00641195,3
LEAD00641193,3
LEAD00641192,3
LEAD00641191,3
LEAD00641190,3
LEAD00641189,3
LEAD00641188,3
LEAD00641186,3
LEAD00641185,3
LEAD00641187,3
LEAD00641184,3
LEAD00641182,3
LEAD00641183,3
LEAD00641179,3
LEAD00641180,3
LEAD00641178,3
LEAD00641181,3
LEAD00641176,3
LEAD00641177,3
LEAD00641175,3
LEAD00641173,3
LEAD00641174,3
LEAD00641172,3
LEAD00641171,3
LEAD00641169,3
LEAD00641170,3
LEAD00641167,3
LEAD00641168,3
LEAD00641165,3
LEAD00641166,3
LEAD00641162,3
LEAD00641164,3
LEAD00641163,3
LEAD00641161,3
LEAD00641159,3
LEAD00641160,3
LEAD00641157,3
LEAD00641158,3
LEAD00641156,3
LEAD00641155,3
LEAD00641154,3
LEAD00641153,3
LEAD00641152,3
LEAD00641151,3
LEAD00641150,3
LEAD00641149,3
LEAD00641148,3
LEAD00641147,3
LEAD00641146,3
LEAD00641143,3
LEAD00641144,3
LEAD00641145,3
LEAD00641141,3
LEAD00641142,3
LEAD00641140,3
LEAD00641138,3
LEAD00641139,3
LEAD00641136,3
LEAD00641137,3
LEAD00641134,3
LEAD00641135,3
LEAD00641132,3
LEAD00641133,3
LEAD00641130,3
LEAD00641131,3
LEAD00641128,3
LEAD00641129,3
LEAD00641127,3
LEAD00641125,3
LEAD00641126,3
LEAD00641124,3
LEAD00641123,3
LEAD00641121,3
LEAD00641122,3
LEAD00641119,3
LEAD00641120,3
LEAD00641118,3
LEAD00641117,3
LEAD00641115,3
LEAD00641116,3
LEAD00641114,3
LEAD00641112,3
LEAD00641113,3
LEAD00641111,3
LEAD00641110,3
LEAD00641108,3
LEAD00641109,3
LEAD00641107,3
LEAD00641106,3
LEAD00641104,3
LEAD00641105,3
LEAD00641102,3
LEAD00641101,3
LEAD00641103,3
LEAD00641099,3
LEAD00641100,3
LEAD00641098,3
LEAD00641096,3
LEAD00641097,3
LEAD00641095,3
LEAD00641094,3
LEAD00641093,3
LEAD00641090,3
LEAD00641092,3
LEAD00641091,3
LEAD00641088,3
LEAD00641087,3
LEAD00641089,3
LEAD00641086,3
LEAD00600756,4
LEAD00565077,2
LEAD00592915,4
LEAD00575361,3
LEAD00587409,4
LEAD00587404,4
LEAD00587089,4
LEAD00586716,4
LEAD00592028,4
LEAD00582128,4
LEAD00582377,4
LEAD00586425,4
LEAD00592035,4
LEAD00586431,4
LEAD00587087,4
LEAD00582372,4
LEAD00587085,4
LEAD00592379,4
LEAD00582642,4
LEAD00586709,4
LEAD00592359,4
LEAD00581847,4
LEAD00586155,4
LEAD00565055,1
LEAD00585888,4
LEAD00598142,3
LEAD00585897,4
LEAD00581842,4
LEAD00582118,4
LEAD00575905,3
LEAD00585606,4
LEAD00585337,4
LEAD00581578,4
LEAD00585616,4
LEAD00581571,4
LEAD00388178,1
LEAD00590618,4
LEAD00581305,4
LEAD00590607,4
LEAD00559546,2
LEAD00580718,4
LEAD00580728,4
LEAD00580445,4
LEAD00590260,4
LEAD00584831,4
LEAD00585078,4
LEAD00584571,4
LEAD00580450,4
LEAD00590262,4
LEAD00594024,4
LEAD00580439,4
LEAD00590258,4
LEAD00579248,4
LEAD00579237,4
LEAD00539951,3
LEAD00588333,4
LEAD00583942,4
LEAD00583666,4
LEAD00579879,4
LEAD00583119,4
LEAD00583397,4
LEAD00593176,4
LEAD00593502,4
LEAD00588006,4
LEAD00587997,4
LEAD00593166,4
LEAD00573634,2
LEAD00583108,4
LEAD00567212,3
LEAD00583115,4
LEAD00593509,4
LEAD00587336,4
LEAD00567195,3
LEAD00582841,4
LEAD00586978,4
LEAD00600977,4
LEAD00582569,4
LEAD00582853,4
LEAD00592838,4
LEAD00586982,4
LEAD00586980,4
LEAD00586086,4
LEAD00582052,4
LEAD00575469,3
LEAD00586639,4
LEAD00569646,4
LEAD00582309,4
LEAD00565534,2
LEAD00586354,4
LEAD00581786,4
LEAD00585824,4
LEAD00590890,4
LEAD00580655,4
LEAD00557557,2
LEAD00581231,4
LEAD00573625,2
LEAD00580660,4
LEAD00581235,4
LEAD00581507,4
LEAD00580940,4
LEAD00585543,4
LEAD00580946,4
LEAD00585021,4
LEAD00589796,4
LEAD00580075,4
LEAD00580084,4
LEAD00589808,4
LEAD00584764,4
LEAD00589794,4
LEAD00580081,4
LEAD00589806,4
LEAD00589804,4
LEAD00560986,3
LEAD00580361,4
LEAD00579803,4
LEAD00609776,1
LEAD00589078,4
LEAD00541135,3
LEAD00608538,1
LEAD00567228,3
LEAD00540170,3
LEAD00540136,3
LEAD00541125,3
LEAD00541141,3
LEAD00603567,2
LEAD00541133,3
LEAD00540137,3
LEAD00539018,2
LEAD00557413,2
LEAD00566721,3
LEAD00549770,4
LEAD00608478,1
LEAD00551046,1
LEAD00609823,1
LEAD00609822,1
LEAD00609819,1
LEAD00609816,1
LEAD00609814,1
LEAD00609810,1
LEAD00609806,1
LEAD00609803,1
LEAD00609801,1
LEAD00609800,1
LEAD00609799,1
LEAD00609798,1
LEAD00609797,1
LEAD00609796,1
LEAD00609795,1
LEAD00609794,1
LEAD00609793,1
LEAD00609792,1
LEAD00609791,1
LEAD00609790,1
LEAD00609789,1
LEAD00609788,1
LEAD00609787,1
LEAD00609786,1
LEAD00609785,1
LEAD00609784,1
LEAD00609783,1
LEAD00609782,1
LEAD00609781,1
LEAD00609780,1
LEAD00609779,1
LEAD00609778,1
LEAD00609777,1
LEAD00609775,1
LEAD00609774,1
LEAD00609773,1
LEAD00609772,1
LEAD00609771,1
LEAD00572154,1
LEAD00609770,1
LEAD00609768,1
LEAD00609767,1
LEAD00609766,1
LEAD00609765,1
LEAD00609764,1
LEAD00609763,1
LEAD00550138,4
LEAD00609762,1
LEAD00609761,1
